make,model,variant,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,best_resale,seats_cat
Maruti,Swift Dzire,ZDI,3.0,110000 - 120000 Km,Diesel,Individual,Manual,3rd owner,19.3,1.25,73.9,5.0,11.0,yes,5andBelow
Hyundai,Creta,1.6 SX OPTION EXECUTIVE,14.05,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,15.8,1.59,121.3,5.0,4.0,yes,5andBelow
Maruti,Alto,800 LX,2.82,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,24.7,0.8,47.3,5.0,5.0,yes,5andBelow
Maruti,Swift Dzire,AMT VXI,7.0,10000 - 20000 Km,Petrol,Individual,Automatic,1st owner,21.21,1.2,81.8,5.0,5.0,yes,5andBelow
Ford,Figo,ASPIRE 1.5 TDCI TITANIUM,7.0,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,25.2,1.5,99.0,5.0,5.0,No,5andBelow
Ford,EcoSport,1.5 TDCI TITANIUM BSIV,6.0,130000 - 140000 Km,Diesel,Individual,Manual,1st owner,22.77,1.5,98.59,5.0,7.0,No,5andBelow
Skoda,Rapid,1.6 TDI AMBITION,2.9,70000 - 80000 Km,Diesel,Individual,Manual,2nd owner,20.5,1.6,103.5,5.0,10.0,No,5andBelow
Chevrolet,Cruze,LTZ AT,4.3,70000 - 80000 Km,Diesel,Individual,Automatic,2nd owner,18.1,1.99,147.9,4.0,11.0,No,5andBelow
Hyundai,i20,1.2 MAGNA EXECUTIVE,5.75,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,18.6,1.2,81.83,5.0,5.0,yes,5andBelow
Hyundai,Creta,1.6 VTVT E PLUS,8.75,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,15.29,1.59,121.3,5.0,5.0,yes,5andBelow
Maruti,Wagon,R LXI BSIII,1.8,70000 - 80000 Km,Petrol,Individual,Manual,1st owner,18.9,1.0,67.1,5.0,12.0,yes,5andBelow
Maruti,Ritz,VDI,2.3,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,23.2,1.25,73.94,5.0,10.0,yes,5andBelow
Toyota,Glanza,G CVT,8.0,0 - 10000 Km,Petrol,Individual,Automatic,1st owner,19.56,1.2,81.8,5.0,3.0,yes,5andBelow
Chevrolet,Spark,1.0 LT OPTION PACK W/ AIRBAG,0.6,100000 - 110000 Km,Petrol,Individual,Manual,3rd owner,16.5,1.0,63.0,5.0,13.0,No,5andBelow
Maruti,SX4,VXI BSIII,1.5,100000 - 110000 Km,Petrol,Individual,Manual,1st owner,15.0,1.59,104.68,5.0,13.0,yes,5andBelow
Tata,Indigo,GRAND DICOR,1.0,80000 - 90000 Km,Diesel,Individual,Manual,3rd owner,23.57,1.4,70.0,5.0,15.0,yes,5andBelow
Hyundai,Creta,1.6 GAMMA SX PLUS,9.0,80000 - 90000 Km,Petrol,Individual,Manual,1st owner,15.29,1.59,121.3,5.0,7.0,yes,5andBelow
Hyundai,i20,1.4 ASTA OPTION,8.5,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,22.54,1.4,88.73,5.0,4.0,yes,5andBelow
Chevrolet,Beat,DIESEL LT,2.2,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,25.2,0.94,56.3,5.0,8.0,No,5andBelow
Maruti,Alto,800 LXI,2.5,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,22.74,0.8,47.3,5.0,8.0,yes,5andBelow
Tata,Indica,VISTA QUADRAJET LS,1.25,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,22.3,1.25,74.0,5.0,10.0,yes,5andBelow
Tata,Tiago,1.2 REVOTRON XT,4.0,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,23.84,1.2,84.0,5.0,5.0,yes,5andBelow
Maruti,800,STD,0.5,60000 - 70000 Km,Petrol,Individual,Manual,1st owner,16.1,0.8,37.0,4.0,20.0,yes,5andBelow
Hyundai,Verna,VTVT 1.6 SX OPTION,10.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,17.0,1.59,121.3,5.0,4.0,yes,5andBelow
Honda,City,I DTEC VX,6.0,150000 - 160000 Km,Diesel,Individual,Manual,1st owner,25.1,1.5,98.6,5.0,8.0,yes,5andBelow
Hyundai,i20,1.2 ASTA,2.5,50000 - 60000 Km,Petrol,Individual,Manual,1st owner,17.0,1.2,80.0,5.0,12.0,yes,5andBelow
Mahindra,Bolero,SLE,3.1,100000 - 110000 Km,Diesel,Individual,Manual,1st owner,13.6,2.52,63.0,7.0,13.0,yes,btwn6and8
Maruti,Wagon,R VXI,1.2,50000 - 60000 Km,Petrol,Individual,Manual,4th & above owner,18.9,1.0,67.1,5.0,17.0,yes,5andBelow
Mahindra,Xylo,E4 BS III,3.9,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,11.68,2.5,112.0,7.0,8.0,yes,btwn6and8
Hyundai,Santro,SPORTZ BSIV,4.58,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,20.3,1.09,68.0,5.0,3.0,yes,5andBelow
Ford,EcoSport,1.5 DIESEL TITANIUM BSIV,9.5,10000 - 20000 Km,Diesel,Individual,Manual,1st owner,23.0,1.5,98.96,5.0,4.0,No,5andBelow
Maruti,Swift Dzire,VXI 1.2 BS IV,6.5,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,22.0,1.2,81.8,5.0,5.0,yes,5andBelow
Maruti,Swift,STAR VDI,4.0,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,22.9,1.25,74.0,5.0,9.0,yes,5andBelow
Hyundai,Grand,I10 AT ASTA,4.0,60000 - 70000 Km,Petrol,Individual,Automatic,2nd owner,18.9,1.2,82.0,5.0,7.0,yes,5andBelow
Maruti,Alto,LX,1.0,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,19.7,0.8,46.3,5.0,16.0,yes,5andBelow
Hyundai,i10,ASTA,3.5,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,20.36,1.2,78.9,5.0,10.0,yes,5andBelow
Tata,Aria,PRESTIGE 4X2,4.5,70000 - 80000 Km,Diesel,Individual,Manual,2nd owner,13.7,2.2,138.1,7.0,9.0,yes,btwn6and8
Mahindra,Scorpio,2.6 DX,3.5,80000 - 90000 Km,Diesel,Individual,Manual,1st owner,12.7,2.61,116.6,8.0,16.0,yes,btwn6and8
Volkswagen,Polo,DIESEL TRENDLINE 1.2L,2.5,70000 - 80000 Km,Diesel,Individual,Manual,4th & above owner,22.07,1.2,73.9,5.0,12.0,No,5andBelow
Mahindra,Bolero,2011-2019 ZLX,4.5,140000 - 150000 Km,Diesel,Individual,Manual,2nd owner,15.96,2.52,62.1,7.0,9.0,yes,btwn6and8
Maruti,800,AC BSIII,1.57,40000 - 50000 Km,Petrol,Individual,Manual,3rd owner,16.1,0.8,37.0,4.0,9.0,yes,5andBelow
Mahindra,XUV500,W11 OPTION BSIV,15.0,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,15.1,2.18,152.87,7.0,4.0,yes,btwn6and8
Tata,Indica,GLS BS IV,0.75,90000 - 100000 Km,Petrol,Individual,Manual,2nd owner,15.3,1.19,65.3,5.0,15.0,yes,5andBelow
Chevrolet,Tavera,B1-10 SEATS BSII,2.8,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,14.8,2.5,80.0,10.0,12.0,No,9andAbobe
Tata,Sumo,CX,2.51,110000 - 120000 Km,Diesel,Individual,Manual,4th & above owner,15.3,2.96,83.8,7.0,10.0,yes,btwn6and8
Toyota,Corolla,ALTIS 1.8 SPORT,3.5,70000 - 80000 Km,Petrol,Individual,Manual,2nd owner,12.5,1.79,132.0,5.0,12.0,yes,5andBelow
Renault,KWID,1.0 RXT OPTIONAL,3.0,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,23.01,1.0,67.0,5.0,6.0,No,5andBelow
Renault,Duster,85PS DIESEL RXS,8.2,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,19.87,1.46,83.8,5.0,5.0,No,5andBelow
Tata,Indigo,TDI,4.1,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,19.61,1.4,70.0,5.0,12.0,yes,5andBelow
Hyundai,Verna,1.6 XI ABS,2.75,50000 - 60000 Km,Petrol,Individual,Manual,2nd owner,13.9,1.6,103.2,5.0,14.0,yes,5andBelow
Maruti,Ertiga,VDI,4.97,100000 - 110000 Km,Diesel,Individual,Manual,1st owner,20.77,1.25,88.76,7.0,9.0,yes,btwn6and8
Hyundai,i20,ASTA 1.2,5.0,60000 - 70000 Km,Petrol,Individual,Manual,1st owner,18.6,1.2,81.83,5.0,7.0,yes,5andBelow
Mahindra,Bolero,2011-2019 CAMPER,1.7,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,14.0,2.52,83.0,7.0,16.0,yes,btwn6and8
Ford,EcoSport,1.5 DIESEL TITANIUM BSIV,9.75,20000 - 30000 Km,Diesel,Individual,Manual,1st owner,23.0,1.5,98.96,5.0,3.0,No,5andBelow
Ford,Aspire,TREND PLUS,6.2,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,20.4,1.19,94.93,5.0,4.0,No,5andBelow
Honda,City,I-VTEC CVT ZX,12.27,0 - 10000 Km,Petrol,Individual,Automatic,1st owner,18.0,1.5,117.6,5.0,3.0,yes,5andBelow
Ford,EcoSport,1.5 DIESEL TITANIUM PLUS BSIV,9.5,30000 - 40000 Km,Diesel,Individual,Manual,1st owner,23.0,1.5,98.96,5.0,4.0,No,5andBelow
MG,Hector,SMART DCT,17.0,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,13.96,1.45,141.0,5.0,3.0,No,5andBelow
Maruti,Ertiga,VDI,5.45,100000 - 110000 Km,Diesel,Individual,Manual,1st owner,20.77,1.25,88.76,7.0,8.0,yes,btwn6and8
Maruti,Swift,VDI,4.0,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,22.9,1.25,74.0,5.0,11.0,yes,5andBelow
Maruti,Baleno,SIGMA 1.3,5.62,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,74.0,5.0,7.0,yes,5andBelow
Tata,Sumo,SE,0.96,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,14.07,2.96,83.1,7.0,20.0,yes,btwn6and8
Mitsubishi,Lancer,2.0 LXD,1.55,90000 - 100000 Km,Diesel,Individual,Manual,3rd owner,14.8,2.0,68.0,5.0,23.0,No,5andBelow
Maruti,Swift,VDI BSIV,2.1,110000 - 120000 Km,Diesel,Individual,Manual,4th & above owner,17.8,1.25,74.0,5.0,13.0,yes,5andBelow
Ford,Fiesta,1.5 TDCI TITANIUM,5.9,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,25.01,1.5,89.75,5.0,7.0,No,5andBelow
Hyundai,Xcent,1.1 CRDI S,3.5,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,24.4,1.12,71.0,5.0,6.0,yes,5andBelow
Maruti,Ignis,1.2 ZETA BSIV,4.85,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,20.89,1.2,81.8,5.0,5.0,yes,5andBelow
Tata,Indica,VISTA TDI LS,2.4,100000 - 110000 Km,Diesel,Individual,Manual,2nd owner,19.1,1.4,70.0,5.0,7.0,yes,5andBelow
Toyota,Innova,2.5 G (DIESEL) 8 SEATER BS IV,5.0,210000 - 220000 Km,Diesel,Individual,Manual,2nd owner,12.8,2.49,102.0,8.0,14.0,yes,btwn6and8
Maruti,Alto,800 LXI,3.0,70000 - 80000 Km,Petrol,Individual,Manual,1st owner,24.7,0.8,47.3,5.0,5.0,yes,5andBelow
Maruti,Ciaz,RS ZDI PLUS SHVS,7.5,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,88.5,5.0,6.0,yes,5andBelow
Maruti,Swift Dzire,VXI,5.74,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,20.85,1.2,83.14,5.0,6.0,yes,5andBelow
Tata,Indica,VISTA QUADRAJET 90 VX,2.0,160000 - 170000 Km,Diesel,Individual,Manual,1st owner,22.3,1.25,88.8,5.0,9.0,yes,5andBelow
Hyundai,Creta,1.6 CRDI SX OPTION,11.0,90000 - 100000 Km,Diesel,Individual,Manual,1st owner,19.67,1.58,126.2,5.0,6.0,yes,5andBelow
Hyundai,Santro,XING GL PLUS,3.5,70000 - 80000 Km,Petrol,Individual,Manual,1st owner,17.92,1.09,62.1,5.0,10.0,yes,5andBelow
Maruti,800,DX,0.7,90000 - 100000 Km,Petrol,Individual,Manual,2nd owner,16.1,0.8,37.0,4.0,24.0,yes,5andBelow
Ford,Ikon,1.3 FLAIR,1.2,80000 - 90000 Km,Petrol,Individual,Manual,2nd owner,13.8,1.3,70.0,5.0,17.0,No,5andBelow
Toyota,Innova,2.5 G (DIESEL) 7 SEATER,7.0,240000 - 250000 Km,Diesel,Individual,Manual,2nd owner,12.99,2.49,100.0,7.0,10.0,yes,btwn6and8
Maruti,Baleno,SIGMA 1.2,5.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,21.4,1.2,83.1,5.0,3.0,yes,5andBelow
Tata,Indigo,CS LS (TDI) BS-III,3.7,80000 - 90000 Km,Diesel,Individual,Manual,1st owner,19.09,1.4,69.01,5.0,6.0,yes,5andBelow
Tata,Tigor,2017-2020 XZ PLUS,6.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,20.3,1.2,83.81,5.0,3.0,yes,5andBelow
Maruti,Zen,LX - BS III,1.0,110000 - 120000 Km,Petrol,Individual,Manual,2nd owner,17.3,0.99,60.0,5.0,16.0,yes,5andBelow
Maruti,Swift,VDI,4.1,80000 - 90000 Km,Diesel,Individual,Manual,2nd owner,22.9,1.25,74.0,5.0,9.0,yes,5andBelow
Honda,City,I VTEC CVT SV,7.5,40000 - 50000 Km,Petrol,Individual,Automatic,1st owner,18.0,1.5,117.3,5.0,6.0,yes,5andBelow
Hyundai,Grand,I10 1.2 KAPPA ASTA,6.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,18.9,1.2,81.86,5.0,5.0,yes,5andBelow
Mahindra,KUV,100 G80 K8 DUAL TONE,5.5,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,18.15,1.2,82.0,6.0,4.0,yes,btwn6and8
Renault,Duster,110PS DIESEL RXZ,9.5,20000 - 30000 Km,Diesel,Individual,Manual,1st owner,19.6,1.46,108.45,5.0,4.0,No,5andBelow
Mahindra,Scorpio,VLX 2WD ABS AT BSIII,6.45,130000 - 140000 Km,Diesel,Individual,Automatic,1st owner,11.79,2.18,120.0,8.0,8.0,yes,btwn6and8
Mahindra,XUV500,W8 2WD,7.5,50000 - 60000 Km,Diesel,Individual,Manual,2nd owner,15.1,2.18,140.0,7.0,8.0,yes,btwn6and8
Mercedes-Benz,New C-Class,C 200 KOMPRESSOR ELEGANCE MT,6.5,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,11.7,1.8,178.0,5.0,16.0,No,5andBelow
Ford,EcoSport,1.5 TI VCT MT TITANIUM BSIV,8.0,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,15.85,1.5,110.4,5.0,7.0,No,5andBelow
Toyota,Corolla,ALTIS 1.8 J,3.5,50000 - 60000 Km,Petrol,Individual,Manual,2nd owner,14.53,1.8,138.0,5.0,12.0,yes,5andBelow
Ford,EcoSport,1.5 TI VCT MT TITANIUM BSIV,7.0,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,15.85,1.5,110.4,5.0,7.0,No,5andBelow
Maruti,Swift Dzire,ZXI,3.35,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,17.5,1.3,85.8,5.0,11.0,yes,5andBelow
Maruti,Swift Dzire,LDI,2.7,100000 - 110000 Km,Diesel,Individual,Manual,1st owner,19.3,1.25,73.9,5.0,10.0,yes,5andBelow
Maruti,Swift Dzire,ZDI,3.2,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,19.3,1.25,73.9,5.0,12.0,yes,5andBelow
Hyundai,Santro,XING XS,1.2,110000 - 120000 Km,Petrol,Individual,Manual,1st owner,17.8,1.09,63.0,5.0,15.0,yes,5andBelow
Audi,A4,1.8 TFSI,7.3,50000 - 60000 Km,Petrol,Individual,Automatic,2nd owner,12.3,1.78,163.2,5.0,12.0,No,5andBelow
Maruti,SX4,VXI BSIII,1.25,110000 - 120000 Km,Petrol,Individual,Manual,3rd owner,15.0,1.59,104.68,5.0,15.0,yes,5andBelow
Maruti,Zen,ESTILO 1.1 LXI BSIII,1.5,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,18.2,1.06,64.0,5.0,15.0,yes,5andBelow
Maruti,Alto,800 LXI,3.1,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,24.7,0.8,47.3,5.0,4.0,yes,5andBelow
Maruti,Swift Dzire,VDI,6.25,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,74.0,5.0,7.0,yes,5andBelow
Hyundai,i10,MAGNA,2.67,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,20.36,1.2,78.9,5.0,10.0,yes,5andBelow
Hyundai,i20,ACTIVE 1.2 SX DUAL TONE,6.0,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,17.19,1.2,81.86,5.0,6.0,yes,5andBelow
Maruti,Eeco,7 SEATER STANDARD BSIV,1.8,100000 - 110000 Km,Petrol,Individual,Manual,2nd owner,15.37,1.2,73.0,7.0,11.0,yes,btwn6and8
Toyota,Glanza,G SMART HYBRID,7.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,23.87,1.2,88.5,5.0,3.0,yes,5andBelow
Maruti,800,AC,1.21,40000 - 50000 Km,Petrol,Individual,Manual,2nd owner,16.1,0.8,37.0,4.0,9.0,yes,5andBelow
Hyundai,Grand,I10 ASTA,3.5,70000 - 80000 Km,Petrol,Individual,Manual,3rd owner,18.9,1.2,82.0,5.0,8.0,yes,5andBelow
Toyota,Innova,2.5 G (DIESEL) 8 SEATER,8.7,220000 - 230000 Km,Diesel,Individual,Manual,2nd owner,12.99,2.49,100.0,8.0,10.0,yes,btwn6and8
Maruti,Wagon,R LX BSIII,0.8,90000 - 100000 Km,Petrol,Individual,Manual,3rd owner,17.3,1.06,64.0,5.0,14.0,yes,5andBelow
Hyundai,i10,ERA 1.1,1.2,90000 - 100000 Km,Petrol,Individual,Manual,2nd owner,19.81,1.09,68.05,5.0,14.0,yes,5andBelow
Mahindra,Scorpio,M2DI,3.7,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,13.5,2.18,115.0,5.0,10.0,yes,5andBelow
Nissan,Terrano,XL 110 PS,7.5,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,19.01,1.46,108.5,5.0,7.0,No,5andBelow
Mahindra,Bolero,POWER PLUS PLUS NON AC BSIV PS,4.85,90000 - 100000 Km,Diesel,Individual,Manual,1st owner,15.96,2.52,63.0,9.0,7.0,yes,9andAbobe
Hyundai,Accent,CRDI,1.2,80000 - 90000 Km,Diesel,Individual,Manual,2nd owner,13.1,1.49,82.0,5.0,16.0,yes,5andBelow
Toyota,Fortuner,2.8 4WD AT BSIV,31.0,80000 - 90000 Km,Diesel,Individual,Automatic,1st owner,15.04,2.76,174.5,7.0,6.0,yes,btwn6and8
Maruti,Swift Dzire,AMT ZXI PLUS,7.5,0 - 10000 Km,Petrol,Individual,Automatic,1st owner,21.21,1.2,81.8,5.0,3.0,yes,5andBelow
Maruti,Gypsy,KING ST BSIII,3.5,70000 - 80000 Km,Petrol,Individual,Manual,1st owner,11.96,1.3,80.0,8.0,12.0,yes,btwn6and8
Mahindra,Scorpio,VLS 2.2 MHAWK,4.0,90000 - 100000 Km,Diesel,Individual,Manual,3rd owner,12.05,2.18,120.0,7.0,14.0,yes,btwn6and8
Toyota,Etios,VD,5.7,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,23.59,1.36,67.05,5.0,7.0,yes,5andBelow
Hyundai,EON,ERA PLUS,1.8,110000 - 120000 Km,Petrol,Individual,Manual,2nd owner,21.1,0.81,55.2,5.0,10.0,yes,5andBelow
Skoda,Octavia,CLASSIC 1.9 TDI MT,2.8,140000 - 150000 Km,Diesel,Individual,Manual,3rd owner,18.7,1.9,66.0,5.0,16.0,No,5andBelow
Tata,Indigo,LS,0.9,110000 - 120000 Km,Diesel,Individual,Manual,4th & above owner,16.1,1.4,70.0,5.0,17.0,yes,5andBelow
Mercedes-Benz,M-Class,ML 250 CDI,26.0,90000 - 100000 Km,Diesel,Individual,Automatic,2nd owner,15.26,2.14,203.2,5.0,7.0,No,5andBelow
Tata,Sumo,GOLD EX,7.0,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,15.3,2.96,83.83,7.0,4.0,yes,btwn6and8
Mercedes-Benz,GLA,CLASS 200 CDI,18.5,30000 - 40000 Km,Diesel,Individual,Automatic,2nd owner,17.9,2.14,136.0,5.0,6.0,No,5andBelow
Ford,Ecosport,1.5 DV5 MT TITANIUM,6.85,100000 - 110000 Km,Diesel,Dealer,Manual,1st owner,22.7,1.5,89.84,5.0,7.0,No,5andBelow
Maruti,Swift,VDI WINDSONG LIMITED EDITION,5.65,110000 - 120000 Km,Diesel,Dealer,Manual,1st owner,25.2,1.25,73.94,5.0,7.0,yes,5andBelow
Skoda,Octavia,ELEGANCE 1.8 TSI AT,16.0,30000 - 40000 Km,Petrol,Dealer,Automatic,2nd owner,14.7,1.8,177.5,5.0,5.0,No,5andBelow
Hyundai,Grand,I10 CRDI ASTA OPTION,3.95,150000 - 160000 Km,Diesel,Dealer,Manual,3rd owner,24.0,1.12,70.0,5.0,8.0,yes,5andBelow
Hyundai,i20,SPORTZ 1.4 CRDI,4.25,100000 - 110000 Km,Diesel,Dealer,Manual,1st owner,21.9,1.4,88.76,5.0,9.0,yes,5andBelow
Volkswagen,Vento,1.5 TDI HIGHLINE BSIV,13.5,0 - 10000 Km,Diesel,Dealer,Manual,Test Drive Car,22.27,1.5,108.6,5.0,3.0,No,5andBelow
Hyundai,Tucson,2.0 E-VGT 2WD AT GLS,19.5,40000 - 50000 Km,Diesel,Dealer,Automatic,2nd owner,16.38,2.0,183.0,5.0,6.0,yes,5andBelow
Renault,KWID,AMT RXL,5.35,30000 - 40000 Km,Petrol,Dealer,Automatic,1st owner,24.04,1.0,67.0,5.0,4.0,No,5andBelow
Renault,KWID,1.0 RXT OPTIONAL,5.0,30000 - 40000 Km,Petrol,Dealer,Manual,1st owner,23.01,1.0,67.0,5.0,4.0,No,5andBelow
Maruti,Wagon,R VXI OPT 1.2,4.35,50000 - 60000 Km,Petrol,Dealer,Manual,1st owner,20.52,1.2,81.8,5.0,6.0,yes,5andBelow
Tata,Nano,XTA,2.5,50000 - 60000 Km,Petrol,Dealer,Automatic,1st owner,21.9,0.62,37.48,4.0,4.0,yes,5andBelow
Hyundai,Verna,1.6 SX,7.0,110000 - 120000 Km,Diesel,Dealer,Manual,1st owner,22.32,1.58,126.32,5.0,8.0,yes,5andBelow
BMW,3-Series,320D LUXURY LINE,11.0,100000 - 110000 Km,Diesel,Dealer,Automatic,1st owner,19.62,2.0,187.74,5.0,12.0,No,5andBelow
Volkswagen,Passat,2.0 TDI AT HIGHLINE,9.0,100000 - 110000 Km,Diesel,Dealer,Automatic,1st owner,17.42,1.97,175.0,5.0,10.0,No,5andBelow
Maruti,Wagon,R VXI 1.2,4.25,70000 - 80000 Km,Petrol,Dealer,Manual,1st owner,20.52,1.2,81.8,5.0,7.0,yes,5andBelow
Mercedes-Benz,E-Class,E 220 CDI AVANTGARDE,16.0,70000 - 80000 Km,Diesel,Dealer,Automatic,1st owner,10.0,2.15,170.0,5.0,11.0,No,5andBelow
Ford,Figo,TITANIUM DIESEL,3.25,150000 - 160000 Km,Diesel,Dealer,Manual,1st owner,24.4,1.5,98.96,5.0,9.0,No,5andBelow
Tata,Nexon,1.5 REVOTORQ XZA PLUS,11.4,0 - 10000 Km,Diesel,Individual,Automatic,1st owner,21.5,1.5,108.5,5.0,3.0,yes,5andBelow
Tata,Hexa,XE,9.8,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,17.6,2.18,147.94,7.0,5.0,yes,btwn6and8
Jeep,Compass,2.0 LIMITED OPTION 4X4,19.2,10000 - 20000 Km,Diesel,Individual,Manual,2nd owner,16.3,1.96,170.0,5.0,5.0,No,5andBelow
Volkswagen,Polo,1.0 TSI HIGHLINE PLUS,8.08,0 - 10000 Km,Petrol,Individual,Manual,1st owner,18.24,1.0,108.6,5.0,2.0,No,5andBelow
Maruti,Swift Dzire,VXI,5.5,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,19.1,1.2,85.8,5.0,8.0,yes,5andBelow
Maruti,Alto,LXI,2.15,60000 - 70000 Km,Petrol,Individual,Manual,1st owner,19.7,0.8,46.3,5.0,12.0,yes,5andBelow
Ford,Figo,1.2P TITANIUM OPT MT,5.12,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,18.16,1.2,86.8,5.0,6.0,No,5andBelow
Maruti,Alto,LXI,2.15,40000 - 50000 Km,Petrol,Individual,Manual,2nd owner,19.7,0.8,46.3,5.0,11.0,yes,5andBelow
Skoda,Rapid,1.6 TDI ELEGANCE,5.0,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,20.5,1.6,103.5,5.0,10.0,No,5andBelow
Skoda,Rapid,1.5 TDI ELEGANCE BLACK PACKAGE,7.0,30000 - 40000 Km,Diesel,Individual,Manual,1st owner,21.14,1.5,103.52,5.0,7.0,No,5andBelow
Tata,Safari,DICOR 2.2 LX 4X2,5.25,130000 - 140000 Km,Diesel,Individual,Manual,1st owner,13.93,2.18,138.03,7.0,10.0,yes,btwn6and8
Mahindra,Scorpio,LX BSIV,5.5,60000 - 70000 Km,Diesel,Individual,Manual,2nd owner,12.05,2.18,120.0,9.0,11.0,yes,9andAbobe
Maruti,Vitara,BREZZA ZDI,7.5,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,24.3,1.25,88.5,5.0,6.0,yes,5andBelow
Maruti,Celerio,X VXI OPTION BSIV,3.95,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,21.63,1.0,67.0,5.0,5.0,yes,5andBelow
Hyundai,i20,2015-2017 SPORTZ 1.2,6.75,0 - 10000 Km,Petrol,Individual,Manual,1st owner,18.6,1.2,81.83,5.0,5.0,yes,5andBelow
Hyundai,Santro,XING GLS,1.4,70000 - 80000 Km,Petrol,Individual,Manual,3rd owner,17.92,1.09,62.1,5.0,14.0,yes,5andBelow
Mahindra,Scorpio,VLX 2WD BSIV,4.3,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,12.05,2.18,120.0,8.0,11.0,yes,btwn6and8
Toyota,Etios,V,2.7,160000 - 170000 Km,Petrol,Individual,Manual,1st owner,16.78,1.5,88.73,5.0,11.0,yes,5andBelow
Maruti,Wagon,R LXI BS IV,3.0,0 - 10000 Km,Petrol,Individual,Manual,1st owner,20.51,1.0,67.04,5.0,8.0,yes,5andBelow
Chevrolet,Sail,HATCHBACK DIESEL,3.55,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,22.1,1.25,76.9,5.0,9.0,No,5andBelow
Maruti,Alto,800 VXI,1.8,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,22.74,0.8,47.3,5.0,7.0,yes,5andBelow
Tata,Indica,GLS BS IV,1.25,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,15.3,1.19,65.3,5.0,15.0,yes,5andBelow
Maruti,Swift,VDI BSIV,1.5,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,17.8,1.25,74.0,5.0,16.0,yes,5andBelow
